Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Cars	Gary Numan	Gary Numan	The Pleasure Principle						New Wave	8940277	238	1	1	9	17	1979	2/28/2019 9:05 PM	3/24/2018 5:10 AM	256	44100		Apple Music AAC audio file			14	3/9/2019 8:21 AM	6	3/3/2019 6:12 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Gary Numan\The Pleasure Principle\09 Cars.m4p
Goodbye to You	Scandal	Zachary Smith	Greatest Hits Featuring Scandal						Pop/Rock	8093975	226	1	1	6	16	1998	2/28/2019 9:06 PM	4/2/2018 7:34 PM	256	44100		Apple Music AAC audio file			3	3/9/2019 3:27 AM	5	3/4/2019 12:50 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Greatest Hits Featuring Scandal\06 Goodbye to You.m4p
Dr. Feelgood	Mötley Crüe	Tommy Lee, Vince Neil, Mick Mars & Nikki Sixx	Dr. Feelgood						Rock	10486657	290	1	1	2	16	1989	2/28/2019 9:06 PM	2/10/2019 10:36 PM	256	44100		Apple Music AAC audio file								C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Mötley Crüe\Dr. Feelgood\02 Dr. Feelgood.m4p
Who's Crying Now	Journey	S. Perry & J. Cain	Escape (Remastered Bonus Track Version)						Rock	10560698	300	1	1	3	14	1981	2/28/2019 9:06 PM	4/4/2018 10:28 AM	256	44100		Apple Music AAC audio file			4	3/9/2019 1:51 AM	4	3/12/2019 2:40 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Journey\Escape (Remastered Bonus Track Version)\03 Who's Crying Now.m4p
Seventeen	Winger	Beau Hill, Kip Winger & Reb Beach	Rhino Hi-Five: Winger - EP						Rock	8645149	244	1	1	1	5	1988	3/4/2019 8:55 PM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			2	3/9/2019 7:28 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Winger\Rhino Hi-Five_ Winger - EP\01 Seventeen.m4p
Limelight	Rush	Geddy Lee, Alex Lifeson & Neil Peart	Moving Pictures (Remastered)						Rock	9488203	259	1	1	4	7	1981	2/28/2019 9:06 PM	2/4/2018 1:57 PM	256	44100		Apple Music AAC audio file			21	3/7/2019 3:55 PM	8	3/11/2019 11:47 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Rush\Moving Pictures (Remastered)\04 Limelight.m4p
Beds Are Burning	Midnight Oil	Peter Garrett, Rob Hirst & Jim Moginie	Diesel and Dust						Rock	9189446	255	1	1	1	11	1987	2/28/2019 9:06 PM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			2	3/9/2019 4:35 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Midnight Oil\Diesel and Dust\01 Beds Are Burning.m4p
Born To Run	Frankie Goes to Hollywood	Bruce Springsteen	Welcome To the Pleasuredome						Pop	8342018	239	1	1	8	16	1984	2/28/2019 9:06 PM	5/22/2018 12:07 PM	256	44100		Apple Music AAC audio file			11	3/9/2019 3:12 AM	5	3/9/2019 4:16 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Frankie Goes to Hollywood\Welcome To the Pleasuredome\08 Born To Run.m4p
The Magnificent Seven	The Clash	Joe Strummer, Michael Jones & Topper Headon	Sandinista!						Punk	12020760	332	1	1	1	36	1980	2/28/2019 9:06 PM	3/24/2018 9:23 PM	256	44100		Apple Music AAC audio file			6	3/11/2019 10:40 AM	4	4/13/2018 5:05 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\The Clash\Sandinista!\01 The Magnificent Seven.m4p
Ride the Lightning	Metallica		Ride the Lightning (Remastered)						Metal	15171225	396	1	1	2	8	1984	2/28/2019 9:06 PM	3/18/2018 7:33 PM	256	44100		Apple Music AAC audio file			10	3/11/2019 4:04 PM	4	3/10/2019 9:32 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Metallica\Ride the Lightning (Remastered)\02 Ride the Lightning.m4p
